 dealer_name,total_rating,total_votes,year_established,alexaRank,pageViewsPerVisitor,dailyTimeOnSiteInSeconds,websiteURL
 Sahni Motors & properties,0, 0 ,NA,99999999,0,0,none
 Gaba Motors,4.2, 5 ,2002,99999999,0,0,none
 Vinayak Motors,3.3, 4 ,2003,99999999,0,0,none
 Puri Motors & co.,2.5, 2 ,2004,99999999,0,0,http://www.purimotors.com
 ROYAL CARZ service,2.9, 4 ,2001,99999999,0,0,none
 NEXT RIDE,4.3, 9 ,NA,99999999,0,0,none
 Preetpal Motors,0, 0 ,NA,99999999,0,0,none
 Durga Motors,4.3, 3 ,NA,99999999,0,0,none
 New Shakti Motors,3.0, 2 ,NA,99999999,0,0,none
 City Car Care Dealers,3.9, 12 ,2004,99999999,0,0,http://www.citycarz.co.in
 Gyani Motors,3.1, 7 ,1977,99999999,0,0,none
 Car Town,4.0, 16 ,2008,99999999,0,0,none
 Mass Metal Pvt Ltd,1.0, 1 ,NA,99999999,0,0,none
 Om Creations,3.0, 1 ,NA,99999999,0,0,none
 Continental Car Scanning Centre,3.7, 15 ,NA,99999999,0,0,http://www.cngcontinental.com
 Rama Motors & Properties,3.7, 9 ,2000,99999999,0,0,none
 My Shop Motors,2.0, 1 ,NA,99999999,0,0,none
 Standard cars,4.5, 12 ,2000,99999999,0,0,none
 Fair Deal Motors,4.1, 9 ,1990,99999999,0,0,none
 Shankar motors,5.0, 2 ,2015,99999999,0,0,none
 Bharat Motors,4.5, 2 ,NA,99999999,0,0,none
 Hans Motors Sameypur,3.4, 5 ,NA,99999999,0,0,none
 Car Mall,4.2, 9 ,NA,99999999,0,0,none
 Dewan Auto,3.8, 4 ,NA,99999999,0,0,none
 Super Car Bazar,0, 0 ,NA,99999999,0,0,none
 Rajat Motors,5.0, 1 ,NA,99999999,0,0,none
 Fitness Auto Centre,5.0, 1 ,NA,99999999,0,0,none
 Aiyyar Automobiles Pvt Ltd,0, 0 ,1986,99999999,0,0,none
 Kamal Motors,4.3, 3 ,2008,99999999,0,0,none
 Ekta Motors And Auto Dealers.,4.2, 6 ,NA,99999999,0,0,none
 General Motors,3.8, 14 ,2007,99999999,0,0,none
 Ahuja Motors,4.0, 10 ,NA,99999999,0,0,none
 Ap Classic Motors,4.1, 14 ,2012,99999999,0,0,http://www.ap_classic.com
 Yamuna Motors,2.7, 3 ,NA,99999999,0,0,none
 ADZ Car India Pvt Ltd,4.3, 6 ,2015,99999999,0,0,none
 Lohia Motors,5.0, 3 ,NA,99999999,0,0,none
 Sukhmani Auto Deal,4.3, 3 ,2009,99999999,0,0,none
 Tirupati Motors,3.8, 7 ,2000,99999999,0,0,none
 United Cars,3.5, 3 ,1999,99999999,0,0,none
 Shri Sai Motors,3.6, 34 ,NA,99999999,0,0,none
 Shiva Auto,4.0, 1 ,NA,99999999,0,0,none
 Ad on wheelz,1.0, 1 ,2014,99999999,0,0,http://www.adonwheelz.in
 AD ON WHEELZ,2.3, 4 ,2013,99999999,0,0,none
 Vehicle Magnets,4.1, 20 ,2000,99999999,0,0,none
 Fair Car Nikhar,4.4, 5 ,NA,99999999,0,0,http://www.delhibazaaronline.com/autoaccess/fcn.htm
 Car Choice,5.0, 1 ,NA,99999999,0,0,none
 United Motors,4.5, 2 ,NA,99999999,0,0,none
 Bizarre,4.1, 12 ,2002,99999999,0,0,none
 Vidhya motors,4.5, 1 ,2015,99999999,0,0,http://www.VIDHYA MOTORS.com
 Drivewell Service Station Maruti Authorised,3.5, 2 ,1990,99999999,0,0,none
 ,, 0 ,NA,99999999,0,0,none
 Balbir Motor & Finance Co,4.5, 2 ,NA,99999999,0,0,none
 Anubhav Motors,3.8, 29 ,NA,99999999,0,0,none
 Shivam Motors,5.0, 2 ,1997,99999999,0,0,none
 Shiv Car Sales,4.2, 6 ,1999,99999999,0,0,none
 Used car,5.0, 2 ,2009,99999999,0,0,none
 JAGDAMBA MOTORS,4.6, 7 ,1970,99999999,0,0,none
 Azad Motors,4.0, 1 ,NA,99999999,0,0,none
 Shri Shiv Kirpa Property & Car True Value,5.0, 3 ,NA,99999999,0,0,none
 Guru ji motors shops,0, 0 ,2015,99999999,0,0,http://www.gurujimotors.in
 BS Car Trader,0, 0 ,2012,99999999,0,0,none
 Sony Motors,3.0, 1 ,NA,99999999,0,0,none
 ZEE Motor & Properties,4.1, 7 ,2012,99999999,0,0,none
 Real cars,3.5, 4 ,NA,99999999,0,0,none
 Superb Auto & Finance,1.0, 1 ,2001,99999999,0,0,http://www.auto99.in
 CITY MOTORS,4.0, 1 ,NA,99999999,0,0,none
 Shine Car Accessories,5.0, 2 ,2009,99999999,0,0,none
 CITY ON WHEELS,4.1, 7 ,2000,99999999,0,0,none
 Auto Experts,2.0, 2 ,2005,99999999,0,0,http://autoexperts.in
 Shri Balaji Motor & Spare,5.0, 1 ,NA,99999999,0,0,none
 Maruti Car Bazar,3.8, 13 ,NA,99999999,0,0,none
 Nitin Motors,0, 0 ,NA,99999999,0,0,none
 P S Cars Pvt Ltd G T Karnal Road,2.0, 1 ,NA,99999999,0,0,none
 Jolly Motors,3.2, 6 ,NA,99999999,0,0,none
 DHAMIJA MOTORS,3.6, 5 ,2006,99999999,0,0,none
 JAGGI CAR CARE,3.3, 3 ,2000,99999999,0,0,none
 Carnation Divya Motors,4.2, 22 ,NA,99999999,0,0,http://www.divyamotors.info
 Joy Car Accessories,3.2, 18 ,NA,99999999,0,0,none
 Capital Scooter Works,3.2, 5 ,1996,99999999,0,0,none
 Khanna Auto Deal & Property Dealer,0, 0 ,NA,99999999,0,0,none
 Satguru Motors.,0, 0 ,2005,99999999,0,0,none
 Sabka Car Bazar,4.5, 12 ,2010,99999999,0,0,none
 Samar motors,3.5, 2 ,2014,99999999,0,0,none
 Batra Motor & Properties,5.0, 1 ,NA,99999999,0,0,none
 INDIA MOTOR DRIVING TRAINING COLLEGE.,4.1, 19 ,NA,99999999,0,0,none
 Guru Kirpa Motors,5.0, 2 ,2001,99999999,0,0,none
 ANMOL MOTORS,5.0, 3 ,1995,99999999,0,0,none
 Sharma Auto Deals,3.3, 6 ,NA,99999999,0,0,none
 Bharat Car Bazar,0, 0 ,NA,99999999,0,0,http://www.mahindrafirstchoice.com
 Car AC India,4.6, 7 ,1994,99999999,0,0,none
 New Carnation Motors,4.5, 2 ,NA,99999999,0,0,none
 Mahajan Motors,4.8, 4 ,NA,99999999,0,0,none
 SAI Car Sale & Purchase,4.3, 3 ,NA,99999999,0,0,none
 Bhawani Motors,5.0, 2 ,NA,99999999,0,0,none
 Ishwar motor works,4.0, 2 ,1970,99999999,0,0,none
 Leo Motors,0, 0 ,NA,99999999,0,0,none
 Vivek Automobiles,4.3, 3 ,NA,99999999,0,0,none
 Sushil Car Bazar,3.4, 7 ,2000,99999999,0,0,none
 Bhagwati Motors,3.5, 11 ,20,99999999,0,0,none
 Daksh Motors,4.8, 12 ,2009,99999999,0,0,none
 Arihant Motors,0, 0 ,NA,99999999,0,0,none
 Mukta Jain,0, 0 ,2009,99999999,0,0,none
 Swastik motors,0, 0 ,2014,99999999,0,0,none
 H Promise,0, 0 ,2011,99999999,0,0,none
 Sai motors,3.5, 1 ,2001,99999999,0,0,none
 Balaji Motors,4.2, 5 ,NA,99999999,0,0,none
 DAS Auto Mobiles,4.0, 4 ,NA,99999999,0,0,none
 PAYAL MOTORS,1.0, 1 ,2009,99999999,0,0,none
 K M Motors,0, 0 ,NA,99999999,0,0,none
 Noida Motors,4.4, 4 ,NA,99999999,0,0,none
 Baba Motors & Properties,3.7, 3 ,2008,99999999,0,0,none
 Sai Deep Motors,4.1, 7 ,2012,99999999,0,0,http://www.bat11.com
 Mridula Motors,0, 0 ,NA,99999999,0,0,none
