 dealer_name,total_rating,total_votes,year_established,alexaRank,pageViewsPerVisitor,dailyTimeOnSiteInSeconds,websiteURL
 D D Motors Pvt Ltd,3.9, 570 ,NA,99999999,0,0,http://www.ddmotors.net
 Galaxy Toyota,4.1, 1351 ,2009,99999999,0,0,http://www.galaxytoyota.com
 Silver Arrow Automobiles Pvt Ltd,4.1, 1307 ,2012,99999999,0,0,http://www.silverarrows.in
 Nexa,4.0, 22 ,2016,99999999,0,0,http://www.nexaexperience.com
 Unity Hyundai,4.1, 160 ,2015,99999999,0,0,http://www.unityhyundai.com
 Mahadev Hyundai,3.8, 443 ,2013,99999999,0,0,http://mahadev.hyundaimotor.in
 AMP Motors,4.2, 1003 ,2010,99999999,0,0,http://www.ampmotors.in
 Regent Autolinks Pvt Ltd,4.0, 432 ,NA,99999999,0,0,none
 T & T Motors Private Limited,4.1, 413 ,NA,99999999,0,0,http://www.tandtmotors.co.in
 D D Nexa,4.4, 26 ,2016,99999999,0,0,http://www.ddnexa.com
 Delight Honda,4.0, 506 ,2007,99999999,0,0,none
 Auto Vikas Sale & Services,3.7, 630 ,2014,99999999,0,0,none
 Vipul Motors Pvt Ltd,4.0, 207 ,1999,99999999,0,0,http://www.vipulmotors.com
 Rana Motors Pvt Ltd,3.8, 24 ,2016,99999999,0,0,http://www.ranamotors.co.in
 Mahindra First Choice,3.5, 238 ,1997,99999999,0,0,none
 Rohan Motors Ltd,4.0, 1017 ,NA,99999999,0,0,http://www.rohanmotors.in
 Bagga Link Motors Pvt Ltd,3.9, 265 ,NA,99999999,0,0,http://www.baggalinkmaruti.com
 Galaxy Toyota,4.0, 2568 ,2008,99999999,0,0,http://www.galaxytoyota.com
 Graduate Motors palace,3.8, 105 ,1984,99999999,0,0,none
 Uttam Toyota,4.1, 308 ,1998,99999999,0,0,http://www.uttamtoyota.com
 Concorde Motors India Limited,3.9, 415 ,2012,99999999,0,0,http://www.concordemotors.com
 Himgiri Automobiles Pvt Ltd,3.9, 2146 ,2011,99999999,0,0,http://www.himgirigurgaon.com
 Pearl Honda,3.8, 1105 ,NA,99999999,0,0,none
 Dream Hyundai.,3.8, 298 ,NA,99999999,0,0,http://www.dream.hyundaimotor.in
 RALLY MOTORS,3.7, 129 ,2000,99999999,0,0,none
 Magic Auto,3.9, 4992 ,NA,99999999,0,0,http://www.magicmaruti.com
 V Go Ford,3.8, 479 ,2013,99999999,0,0,http://www.vgoford.in
 T & T Motors Private Limited,4.1, 330 ,1998,99999999,0,0,http://www.tandtmotors.co.in
 Safdarjang Motors Pvt Ltd,4.0, 992 ,2003,99999999,0,0,http://www.safdarjung.hyundaimotor.in
 Shiva Auto Car India Pvt Ltd,3.8, 221 ,2007,99999999,0,0,http://www.shivamahindra.in
 TCS Autoworld,3.8, 474 ,NA,99999999,0,0,none
 Hans Hyundai A unit of Charu motors,3.9, 2392 ,2003,99999999,0,0,none
 AMP Motors Pvt Ltd,4.1, 359 ,2011,99999999,0,0,http://www.amp-india.com
 Nexa,0, 0 ,2017,99999999,0,0,http://www.nexaexperience.com
 Unity Hyundai,4.3, 33 ,2016,99999999,0,0,http://www.unityhyundai.com
 T & T Motors Private Limited,4.1, 477 ,NA,99999999,0,0,http://www.tandtmotorsindia.com
 Renault Delhi North,3.8, 347 ,2008,99999999,0,0,http://www.divinerenault.com
 Autoportal.com,3.8, 1039 ,NA,99999999,0,0,http://www.autoportal.com
 Tuli Motors Pvt Ltd,3.8, 670 ,2013,99999999,0,0,http://www.tulimotors.com
 Malwa Motors Pvt Ltd,3.8, 398 ,2012,99999999,0,0,none
 Sunrise Hyundai,3.9, 232 ,NA,99999999,0,0,http://www.sunrisehyundai.in
 Galaxy Toyota,4.0, 1048 ,2009,99999999,0,0,http://www.galaxytoyota.com
 Magic Auto,4.0, 40 ,NA,99999999,0,0,none
 Shiva Motors,3.7, 546 ,2007,99999999,0,0,none
 Fortune Hyundai,3.8, 272 ,2009,99999999,0,0,http://www.hyundai.co.in
 Silver Arrows Automobiles Pvt Ltd,3.5, 2 ,2016,99999999,0,0,http://www.silverarrows.in
 Grace Toyota,4.0, 323 ,NA,99999999,0,0,http://www.gracetoyota.in
 PUNEET MOTORS,3.9, 121 ,2004,99999999,0,0,none
 Axon Honda,3.9, 65 ,NA,99999999,0,0,none
 Silver Arrow Automobiles Pvt Ltd,3.9, 43 ,2015,99999999,0,0,http://www.silverarrows.in
 JKM Motors Pvt Ltd,4.0, 275 ,NA,99999999,0,0,http://www.jkmmotors.com
 Hans Hyundai,4.0, 300 ,NA,99999999,0,0,http://www.hyundai.co.in
 Riddhi Ford,3.8, 3218 ,2009,99999999,0,0,http://www.riddhiford.co.in
 Synergy Cars,4.0, 194 ,2009,99999999,0,0,http://www.konceptmahindra.com
 Kashyap Fiat,3.8, 186 ,NA,99999999,0,0,http://www.kashyapfiat.in
 Zedex Nissan,3.7, 907 ,2010,99999999,0,0,http://www.nissan.in
 Auto Car India,3.8, 259 ,NA,99999999,0,0,http://www.autocarsindia.com
 Grand Auto Capital,3.8, 74 ,2016,99999999,0,0,none
 Nexa,0, 0 ,NA,99999999,0,0,http://www.nexaexperience.com
 Nexa Pasco,4.5, 42 ,2016,99999999,0,0,http://www.pasco.in
 Pearl Honda,3.5, 377 ,NA,99999999,0,0,http://www.pearlhonda.com
 Audi Delhi West,4.0, 530 ,1996,99999999,0,0,http://www.audidelhiwest.in
 Southend Honda,3.8, 454 ,2008,99999999,0,0,http://www.southendhonda.com
 Deutsche Motoren Pvt Ltd,4.0, 370 ,2012,99999999,0,0,http://www.bmw-deutschemotoren.in
