 dealer_name,total_rating,total_votes,year_established,alexaRank,pageViewsPerVisitor,dailyTimeOnSiteInSeconds,websiteURL
 Renault Silk Board,0, 0 ,NA,99999999,0,0,none
 Naveen,3.9, 13 ,NA,99999999,0,0,none
 Evineon Technology Pvt Ltd,0, 0 ,2015,13383278,2.0,0,http://www.spinbay.com
 Gm Arcade,0, 0 ,NA,19376205,1.0,0,http://www.lakshmigroup.co.in/
 Supercarz   Used Luxury Car Dealers In Bangalore Pre Owned Used Luxury Cars,0, 0 ,NA,99999999,0,0,none
 LEGEND CARZ,4.3, 3 ,1999,99999999,0,0,http://www.uniquecarsbangalore.com
 Mahindra Reva,0, 0 ,NA,3398685,0,0,http://mahindrareva.com/
 Chevrolet Car Showroom,5.0, 1 ,NA,99999999,0,0,none
 Trident Honda,0, 0 ,NA,99999999,0,0,none
 Trident Renault,0, 0 ,NA,99999999,0,0,none
 Svr Mitsubishi,0, 0 ,NA,22257118,2.0,0,http://www.svrmitsubishi.com/
 Bangalore Car Garage,3.9, 12 ,2004,99999999,0,0,none
 ARUSHA AUTOMOBILE,0, 0 ,2002,99999999,0,0,none
 Pooja Enterprises,0, 0 ,2010,99999999,0,0,none
 Trinity Car Care Pvt Ltd,3.9, 212 ,NA,99999999,0,0,none
 Blue Hyunai,0, 0 ,NA,6284804,0,0,http://www.bluehyundai.co.in/
 My Tvs Service Station,0, 0 ,NA,1441391,0,0,http://www.mytvs.in/
 Volkswagen Service Station,0, 0 ,NA,99999999,0,0,none
 Bangalore Auto Consultant,0, 0 ,2000,99999999,0,0,none
 Surya Nissan Service Center,0, 0 ,NA,29701,0,0,http://https://www.nissan.in/
